,CS textfield,BB textfield,Stack,Head angle,Head tube length textfield,Seat stay junction0,Seat tube length,Seat angle,DT Length,FORK0R,BB diameter,ttd,dtd,csd,ssd,Chain stay position on BB,SSTopZOFFSET,Head tube upper extension2,Seat tube extension2,Head tube lower extension2,SEATSTAYbrdgshift,CHAINSTAYbrdgshift,SEATSTAYbrdgdia1,CHAINSTAYbrdgdia1,SEATSTAYbrdgCheck,CHAINSTAYbrdgCheck,Dropout spacing,Wall thickness Bottom Bracket,Wall thickness Top tube,Wall thickness Head tube,Wall thickness Down tube,Wall thickness Chain stay,Wall thickness Seat stay,Wall thickness Seat tube,Wheel diameter front,RDBSD,Wheel diameter rear,FDBSD,Display AEROBARS,BB length,Head tube diameter,Wheel cut,Seat tube diameter,bottle SEATTUBE0 show,bottle DOWNTUBE0 show,Front Fender include,Rear Fender include,BELTorCHAIN,Number of cogs,Number of chainrings,Display RACK,FIRST color R_RGB,FIRST color G_RGB,FIRST color B_RGB,SPOKES composite front,SPOKES composite rear,SBLADEW front,SBLADEW rear,Saddle length,Saddle height,Down tube diameter,Seatpost LENGTH,MATERIAL OHCLASS: ALUMINIUM,MATERIAL OHCLASS: BAMBOO,MATERIAL OHCLASS: CARBON,MATERIAL OHCLASS: OTHER,MATERIAL OHCLASS: STEEL,MATERIAL OHCLASS: TITANIUM,Head tube type OHCLASS: 0,Head tube type OHCLASS: 1,Head tube type OHCLASS: 2,Head tube type OHCLASS: 3,RIM_STYLE front OHCLASS: DISC,RIM_STYLE front OHCLASS: SPOKED,RIM_STYLE front OHCLASS: TRISPOKE,RIM_STYLE rear OHCLASS: DISC,RIM_STYLE rear OHCLASS: SPOKED,RIM_STYLE rear OHCLASS: TRISPOKE,Handlebar style OHCLASS: 0,Handlebar style OHCLASS: 1,Handlebar style OHCLASS: 2,Stem kind OHCLASS: 0,Stem kind OHCLASS: 1,Stem kind OHCLASS: 2,Fork type OHCLASS: 0,Fork type OHCLASS: 1,Fork type OHCLASS: 2,Seat tube type OHCLASS: 0,Seat tube type OHCLASS: 1,Seat tube type OHCLASS: 2
619,405.0,70.0,593.53656,73.0,145.0,45.0,514.3,74.0,647.92584,45.0,40.0,33.6,36.5,23.35,13.0,15.0,9.0,34.5,48.3,49.2,330.0,300.0,16.0,18.0,0.0,0.0,130.0,4.237449033054858,0.9799351309103347,1.0466258082556448,1.0748082392814466,1.156945714292133,2.0826285981460586,0.8699721355965664,674.0,52.0,674.0,52.0,1.0,68.0,45.0,692.0,31.8,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,255.0,255.0,255.0,1.0,1.0,80.0,80.0,278.0,810.0,34.9,300.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2979,410.0,71.0,584.0172,73.0,144.8,26.0,570.8,74.00162,636.55347,45.0,40.0,28.6,36.5,21.25,12.5,15.0,9.0,30.4,20.8,39.2,330.0,350.0,16.0,18.0,1.0,1.0,130.0,6.277944015102072,1.299740613851219,2.7669029628761734,4.74621537741429,1.6749650502337075,3.1023360655878243,2.347947322480951,674.0,52.0,674.0,52.0,0.0,68.0,36.0,692.0,28.6,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,51.0,1.0,1.0,80.0,80.0,300.0,773.0,31.7,300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
140,450.0,60.0,644.8967,72.0,110.0,72.0,485.0,73.0,747.35126,40.0,35.0,40.0,44.95,23.0,16.5,15.0,11.2,20.0,65.0,60.5,330.0,350.0,16.0,18.0,0.0,0.0,135.0,4.361993642632716,0.43660042963777634,0.7233482652683535,0.8085585660422047,6.02264867777258,0.5555770169665282,2.149176321849417,736.0,114.0,736.0,114.0,0.0,100.0,39.0,692.0,30.2,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,26.0,28.0,30.0,1.0,1.0,80.0,80.0,278.0,735.0,36.0,400.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2532,403.0,70.0,589.2244,76.0,145.0,60.0,630.0,75.667,656.6133,45.0,40.0,29.3,36.5,23.35,13.0,15.0,9.0,44.4,42.7,56.4,330.0,350.0,16.0,18.0,0.0,0.0,120.0,1.7630266299988757,1.020968117987263,1.744611347148457,1.6010897311262597,3.984459442937135,1.3382539640577462,0.6228842639239068,674.0,44.0,674.0,54.0,0.0,68.0,45.0,695.0,31.8,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,255.0,51.0,0.0,1.0,1.0,80.0,80.0,278.0,800.0,34.9,300.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
51,405.0,70.0,599.45886,76.5,145.0,45.0,515.2,74.0,669.0333,45.0,40.0,28.6,36.5,23.35,14.5,15.0,9.0,32.2,49.2,52.0,330.0,350.0,16.0,18.0,0.0,0.0,135.0,8.538621522242147,0.8352465312774813,3.568161316540627,1.080161694126521,7.979125357110004,3.737607415515587,2.1992272301051963,674.0,52.0,674.0,52.0,0.0,68.0,45.0,692.0,31.8,1.0,1.0,0.0,0.0,1.0,10.0,1.0,0.0,255.0,0.0,0.0,2.0,2.0,80.0,80.0,278.0,735.0,34.9,350.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4797,419.0,42.909344,519.1599,65.7721,95.0,90.0,380.0,77.7721,702.45337,45.0,40.0,28.6,36.5,19.5,12.0,15.0,16.0,24.0,90.0,44.0,330.0,350.0,10.0,18.0,0.0,0.0,142.0,4.640524188516313,2.6834991553155114,0.5957985553483988,2.9200078741465743,3.6334479099407857,1.1819708707571033,2.0450660336206554,710.0,126.0,710.0,126.0,0.0,73.0,62.0,692.0,35.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,102.0,102.0,102.0,1.0,1.0,80.0,80.0,278.0,720.0,38.0,465.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
337,425.5,46.5,565.8481,70.0,123.3,45.0,490.2,74.0,684.2094,45.0,40.0,28.6,36.5,22.0,17.0,15.0,8.0,34.3,34.5,55.5,330.0,350.0,16.0,18.0,0.0,0.0,135.0,12.528652812687984,0.8329239352227177,2.0145618037015387,2.610212649585339,0.6614258073498471,0.8204439450828462,0.5432271434741393,690.0,106.0,690.0,106.0,0.0,68.0,45.0,692.0,28.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,204.0,204.0,0.0,1.0,1.0,80.0,80.0,278.0,725.0,34.9,350.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4137,448.0,65.0,645.42584,72.0,200.0,40.0,580.0,72.0,657.1785,52.0,40.0,30.15,36.25,21.0,11.0,10.0,4.0,33.4,31.6,45.2,370.0,372.0,14.0,18.0,1.0,1.0,135.0,6.415523035956961,4.353252917882933,4.278501912441657,11.523789341545177,10.047585625665048,9.555608958348667,4.123455206139,700.0,78.0,700.0,78.0,0.0,68.0,37.0,692.0,28.6,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,102.0,102.0,102.0,1.0,1.0,80.0,80.0,278.0,763.0,34.9,250.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1269,367.86,69.0,552.42194,74.0,120.0,44.0,520.0,75.0,615.88104,45.0,40.0,27.7,36.5,23.35,13.0,15.0,9.0,30.7,16.8,47.7,330.0,300.0,16.0,18.0,1.0,1.0,120.0,2.4589865252419036,0.9820585065880955,2.5430720502286617,0.4212884866169024,1.8036377604600937,2.5421711410229357,1.7957823669053234,678.0,56.0,678.0,56.0,0.0,68.0,40.0,692.0,30.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,102.0,102.0,102.0,1.0,1.0,80.0,80.0,278.0,650.0,40.0,150.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3940,465.0,75.0,581.1311,71.0,116.9,45.0,550.2,72.0,644.8661,45.0,34.8,28.6,36.5,20.0,13.0,15.0,9.0,29.2,20.2,36.0,330.0,355.0,13.0,18.0,1.0,1.0,130.0,0.6273028988828694,0.5069368436135994,3.2203567991149233,0.40654018873899933,1.0356159944143122,0.48443764474983053,0.7660163148172816,695.0,73.0,695.0,73.0,0.0,68.0,31.8,692.0,28.6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,153.0,0.0,0.0,1.0,1.0,80.0,80.0,278.0,695.0,28.6,250.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1369,419.05,55.0,596.5456,69.0,174.9,20.0,490.0,69.0,697.9825,45.0,38.1,87.7,34.0,18.75,11.425,5.0,30.0,85.0,75.0,25.0,330.0,300.0,16.0,18.0,0.0,0.0,135.0,14.904142951652071,2.798481596713433,8.367992801855848,4.7746105214899695,3.8483766624748443,19.05093684098916,1.7635997212422034,670.0,111.0,670.0,111.0,0.0,68.0,31.8,692.0,25.4,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,102.0,204.0,1.0,1.0,80.0,80.0,260.0,750.0,25.4,300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1819,375.0,30.0,420.4164,75.0,91.8,45.0,560.0,75.0,581.72174,0.0,40.0,28.6,36.5,23.35,13.0,15.0,9.0,27.5,152.2,35.9,330.0,350.0,16.0,18.0,0.0,0.0,120.0,3.2371002336113355,6.562311983607826,2.040301340900266,0.3834594022713516,0.7807873154532365,2.7293061655144295,1.0103435745053813,611.0,52.0,674.0,51.0,0.0,68.0,45.0,692.0,31.8,0.0,1.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,204.0,204.0,1.0,1.0,80.0,80.0,300.0,718.0,34.9,300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3640,405.0,50.0,573.3572,75.0,175.8,45.0,658.1,75.0,609.1639,15.0,40.0,38.05,36.5,23.35,13.0,15.0,9.0,30.0,58.1,45.0,330.0,350.0,16.0,18.0,1.0,1.0,130.0,5.86604762488194,0.21851875618822814,0.21711642657027946,1.0360620052602332,0.9878677327958049,0.8739377361320031,0.9323846145500472,674.0,52.0,674.0,52.0,0.0,68.0,45.0,692.0,31.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,102.0,255.0,3.0,1.0,80.0,80.0,298.0,800.0,34.9,330.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
471,425.0,55.0,551.691,71.5,120.0,160.0,640.0,73.0,637.2514,45.0,40.0,31.5,31.5,25.0,12.75,15.0,9.0,46.5,149.4,46.7,330.0,350.0,16.0,18.0,0.0,0.0,130.0,0.7548542687858658,0.8786264240246238,2.3366819109434864,0.8866716022981992,1.8306732427173247,1.132319435061802,3.2506399253399083,700.0,78.0,700.0,78.0,0.0,68.0,45.0,692.0,28.6,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,255.0,153.0,204.0,1.0,1.0,80.0,80.0,278.0,720.0,34.9,300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4126,400.0,69.0,586.3206,73.0,151.2,225.0,640.0,75.0,643.3928,45.0,40.0,28.6,36.5,23.35,13.0,15.0,9.0,28.8,169.2,48.7,330.0,350.0,16.0,18.0,1.0,1.0,130.0,3.01951858593972,7.445380709722752,1.1788741982254083,1.3075479397414027,2.9201371503093148,3.6980958032640365,2.2633620923509454,674.0,52.0,674.0,52.0,0.0,68.0,45.0,692.0,31.8,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,255.0,102.0,0.0,1.0,1.0,80.0,80.0,298.0,730.0,34.9,330.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
280,405.0,70.0,582.4434,73.0,133.4,45.0,507.7,74.5,629.57745,45.0,40.0,27.0,36.5,23.35,13.0,15.0,9.0,31.9,47.7,44.5,330.0,350.0,16.0,18.0,0.0,0.0,130.0,1.2059541579810258,2.535597458092042,1.393948308281503,0.8101492491721527,0.649389907921719,0.5861011687186449,1.2918654313166569,674.0,52.0,674.0,52.0,0.0,68.0,37.0,692.0,28.6,0.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0,204.0,204.0,255.0,1.0,1.0,80.0,80.0,278.0,718.0,31.8,300.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1377,405.0,15.0,470.86447,63.0,100.0,160.0,350.0,68.0,602.09344,45.0,40.0,55.0,55.0,0.0,26.5,15.0,9.0,42.0,35.3,56.0,330.0,300.0,16.0,18.0,0.0,0.0,135.0,1.4574008750957221,1.681155303696762,0.4161435689423749,0.23319142471122278,1.1829053205566662,0.4879540463965918,0.9449966501641311,630.0,80.0,630.0,80.0,0.0,68.0,50.0,692.0,40.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,0.0,51.0,204.0,0.0,1.0,1.0,80.0,80.0,250.0,560.0,34.9,300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
23,410.0,-10.0,525.90454,74.0,127.2,65.0,490.5,74.0,646.667,15.0,39.0,25.4,34.0,18.75,13.0,14.0,25.0,36.1,40.5,49.8,330.0,350.0,16.0,18.0,0.0,0.0,120.0,7.99775361433071,1.910901758979069,2.0792120284854554,7.83281081081415,4.822169337729369,9.700790543088766,3.561437308267365,670.0,111.0,670.0,111.0,0.0,68.0,33.0,692.0,25.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.0,80.0,210.0,600.0,28.6,270.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3913,367.0,35.0,546.2685,73.0,152.6,45.0,540.0,78.0,619.2876,40.0,40.0,28.6,36.5,23.35,13.0,15.0,9.0,29.6,48.8,46.2,330.0,350.0,16.0,18.0,1.0,1.0,120.0,4.797554414090345,6.107704618506219,0.7768152745607452,5.305430555410435,8.052658030497852,2.793755894498015,5.51912453997996,626.0,67.0,626.0,67.0,0.0,68.0,45.0,692.0,31.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,106.0,0.0,0.0,1.0,1.0,80.0,80.0,298.0,690.0,34.9,250.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
